Pixel1: 51, Pixel2: 136, l: 93, h: -85
Pixel1: 139, Pixel2: 141, l: 140, h: -2
Pixel1: 141, Pixel2: 140, l: 140, h: 1
Pixel1: 143, Pixel2: 145, l: 144, h: -2
Pixel1: 146, Pixel2: 144, l: 145, h: 2
Pixel1: 143, Pixel2: 140, l: 141, h: 3
Pixel1: 138, Pixel2: 139, l: 138, h: -1
Pixel1: 141, Pixel2: 138, l: 139, h: 3
Pixel1: 130, Pixel2: 110, l: 120, h: 20
Pixel1: 39, Pixel2: 27, l: 33, h: 12
Pixel1: 28, Pixel2: 29, l: 28, h: -1
Pixel1: 25, Pixel2: 26, l: 25, h: -1
Pixel1: 28, Pixel2: 27, l: 27, h: 1
Pixel1: 34, Pixel2: 32, l: 33, h: 2
Pixel1: 30, Pixel2: 29, l: 29, h: 1
Pixel1: 35, Pixel2: 38, l: 36, h: -3
Pixel1: 42, Pixel2: 49, l: 45, h: -7
Pixel1: 63, Pixel2: 71, l: 67, h: -8
Pixel1: 70, Pixel2: 81, l: 75, h: -11
Pixel1: 71, Pixel2: 73, l: 72, h: -2
Pixel1: 77, Pixel2: 77, l: 77, h: 0
Pixel1: 74, Pixel2: 73, l: 73, h: 1
Pixel1: 75, Pixel2: 83, l: 79, h: -8
Pixel1: 79, Pixel2: 77, l: 78, h: 2
Pixel1: 73, Pixel2: 82, l: 77, h: -9
Pixel1: 93, Pixel2: 81, l: 87, h: 12
Pixel1: 77, Pixel2: 79, l: 78, h: -2
Pixel1: 77, Pixel2: 83, l: 80, h: -6
Pixel1: 79, Pixel2: 81, l: 80, h: -2
Pixel1: 81, Pixel2: 80, l: 80, h: 1
Pixel1: 85, Pixel2: 87, l: 86, h: -2
Pixel1: 78, Pixel2: 74, l: 76, h: 4
Pixel1: 71, Pixel2: 73, l: 72, h: -2
Pixel1: 78, Pixel2: 79, l: 78, h: -1
Pixel1: 83, Pixel2: 83, l: 83, h: 0
Pixel1: 78, Pixel2: 75, l: 76, h: 3
Pixel1: 77, Pixel2: 78, l: 77, h: -1
Pixel1: 74, Pixel2: 76, l: 75, h: -2
Pixel1: 74, Pixel2: 74, l: 74, h: 0
Pixel1: 77, Pixel2: 76, l: 76, h: 1
Pixel1: 79, Pixel2: 69, l: 74, h: 10
Pixel1: 73, Pixel2: 77, l: 75, h: -4
Pixel1: 78, Pixel2: 84, l: 81, h: -6
Pixel1: 73, Pixel2: 71, l: 72, h: 2
Pixel1: 77, Pixel2: 83, l: 80, h: -6
Pixel1: 80, Pixel2: 79, l: 79, h: 1
Pixel1: 72, Pixel2: 77, l: 74, h: -5
Pixel1: 80, Pixel2: 81, l: 80, h: -1
Pixel1: 84, Pixel2: 80, l: 82, h: 4
Pixel1: 74, Pixel2: 75, l: 74, h: -1
Pixel1: 78, Pixel2: 77, l: 77, h: 1
Pixel1: 79, Pixel2: 80, l: 79, h: -1
Pixel1: 77, Pixel2: 77, l: 77, h: 0
Pixel1: 84, Pixel2: 81, l: 82, h: 3
Pixel1: 83, Pixel2: 82, l: 82, h: 1
Pixel1: 83, Pixel2: 82, l: 82, h: 1
Pixel1: 83, Pixel2: 78, l: 80, h: 5
Pixel1: 78, Pixel2: 79, l: 78, h: -1
Pixel1: 75, Pixel2: 78, l: 76, h: -3
Pixel1: 84, Pixel2: 89, l: 86, h: -5
Pixel1: 84, Pixel2: 81, l: 82, h: 3
Pixel1: 80, Pixel2: 81, l: 80, h: -1
Pixel1: 84, Pixel2: 86, l: 85, h: -2
Pixel1: 86, Pixel2: 78, l: 82, h: 8
Pixel1: 82, Pixel2: 83, l: 82, h: -1
Pixel1: 81, Pixel2: 83, l: 82, h: -2
Pixel1: 81, Pixel2: 85, l: 83, h: -4
Pixel1: 81, Pixel2: 85, l: 83, h: -4
Pixel1: 79, Pixel2: 77, l: 78, h: 2
Pixel1: 81, Pixel2: 80, l: 80, h: 1
Pixel1: 84, Pixel2: 77, l: 80, h: 7
Pixel1: 78, Pixel2: 77, l: 77, h: 1
Pixel1: 75, Pixel2: 76, l: 75, h: -1
Pixel1: 78, Pixel2: 83, l: 80, h: -5
Pixel1: 82, Pixel2: 84, l: 83, h: -2
Pixel1: 89, Pixel2: 84, l: 86, h: 5
Pixel1: 85, Pixel2: 85, l: 85, h: 0
Pixel1: 85, Pixel2: 80, l: 82, h: 5
Pixel1: 77, Pixel2: 81, l: 79, h: -4
Pixel1: 80, Pixel2: 89, l: 84, h: -9
Pixel1: 89, Pixel2: 95, l: 92, h: -6
Pixel1: 87, Pixel2: 81, l: 84, h: 6
Pixel1: 84, Pixel2: 84, l: 84, h: 0
Pixel1: 86, Pixel2: 85, l: 85, h: 1
Pixel1: 85, Pixel2: 79, l: 82, h: 6
Pixel1: 80, Pixel2: 87, l: 83, h: -7
Pixel1: 84, Pixel2: 84, l: 84, h: 0
Pixel1: 86, Pixel2: 82, l: 84, h: 4
Pixel1: 88, Pixel2: 102, l: 95, h: -14
Pixel1: 85, Pixel2: 86, l: 85, h: -1
Pixel1: 85, Pixel2: 85, l: 85, h: 0
Pixel1: 88, Pixel2: 84, l: 86, h: 4
Pixel1: 83, Pixel2: 79, l: 81, h: 4
Pixel1: 88, Pixel2: 87, l: 87, h: 1
Pixel1: 86, Pixel2: 87, l: 86, h: -1
Pixel1: 83, Pixel2: 81, l: 82, h: 2
Pixel1: 79, Pixel2: 80, l: 79, h: -1
Pixel1: 87, Pixel2: 83, l: 85, h: 4
Pixel1: 85, Pixel2: 85, l: 85, h: 0
Pixel1: 83, Pixel2: 87, l: 85, h: -4
Pixel1: 90, Pixel2: 90, l: 90, h: 0
Pixel1: 83, Pixel2: 87, l: 85, h: -4
Pixel1: 87, Pixel2: 87, l: 87, h: 0
Pixel1: 90, Pixel2: 90, l: 90, h: 0
Pixel1: 84, Pixel2: 83, l: 83, h: 1
Pixel1: 85, Pixel2: 93, l: 89, h: -8
Pixel1: 85, Pixel2: 84, l: 84, h: 1
Pixel1: 92, Pixel2: 88, l: 90, h: 4
Pixel1: 96, Pixel2: 94, l: 95, h: 2
Pixel1: 95, Pixel2: 94, l: 94, h: 1
Pixel1: 96, Pixel2: 90, l: 93, h: 6
Pixel1: 94, Pixel2: 91, l: 92, h: 3
Pixel1: 89, Pixel2: 94, l: 91, h: -5
Pixel1: 90, Pixel2: 85, l: 87, h: 5
Pixel1: 87, Pixel2: 86, l: 86, h: 1
Pixel1: 84, Pixel2: 79, l: 81, h: 5
Pixel1: 82, Pixel2: 85, l: 83, h: -3
Pixel1: 83, Pixel2: 86, l: 84, h: -3
Pixel1: 79, Pixel2: 84, l: 81, h: -5
Pixel1: 76, Pixel2: 83, l: 79, h: -7
Pixel1: 81, Pixel2: 81, l: 81, h: 0
Pixel1: 81, Pixel2: 76, l: 78, h: 5
Pixel1: 79, Pixel2: 82, l: 80, h: -3
Pixel1: 82, Pixel2: 82, l: 82, h: 0
Pixel1: 77, Pixel2: 80, l: 78, h: -3
Pixel1: 79, Pixel2: 80, l: 79, h: -1
Pixel1: 83, Pixel2: 81, l: 82, h: 2
Pixel1: 81, Pixel2: 84, l: 82, h: -3
Pixel1: 83, Pixel2: 85, l: 84, h: -2
Pixel1: 82, Pixel2: 86, l: 84, h: -4
Pixel1: 89, Pixel2: 88, l: 88, h: 1
Pixel1: 89, Pixel2: 90, l: 89, h: -1
Pixel1: 89, Pixel2: 89, l: 89, h: 0
Pixel1: 90, Pixel2: 80, l: 85, h: 10
Pixel1: 81, Pixel2: 79, l: 80, h: 2
Pixel1: 89, Pixel2: 85, l: 87, h: 4
Pixel1: 83, Pixel2: 89, l: 86, h: -6
Pixel1: 95, Pixel2: 91, l: 93, h: 4
Pixel1: 85, Pixel2: 79, l: 82, h: 6
Pixel1: 87, Pixel2: 88, l: 87, h: -1
Pixel1: 86, Pixel2: 85, l: 85, h: 1
Pixel1: 85, Pixel2: 88, l: 86, h: -3
Pixel1: 86, Pixel2: 86, l: 86, h: 0
Pixel1: 89, Pixel2: 97, l: 93, h: -8
Pixel1: 94, Pixel2: 96, l: 95, h: -2
Pixel1: 94, Pixel2: 104, l: 99, h: -10
Pixel1: 99, Pixel2: 95, l: 97, h: 4
Pixel1: 89, Pixel2: 87, l: 88, h: 2
Pixel1: 88, Pixel2: 79, l: 83, h: 9
Pixel1: 76, Pixel2: 80, l: 78, h: -4
Pixel1: 79, Pixel2: 83, l: 81, h: -4
Pixel1: 82, Pixel2: 78, l: 80, h: 4
Pixel1: 77, Pixel2: 78, l: 77, h: -1
Pixel1: 75, Pixel2: 79, l: 77, h: -4
Pixel1: 78, Pixel2: 80, l: 79, h: -2
Pixel1: 89, Pixel2: 97, l: 93, h: -8
Pixel1: 102, Pixel2: 90, l: 96, h: 12
Pixel1: 86, Pixel2: 85, l: 85, h: 1
Pixel1: 84, Pixel2: 84, l: 84, h: 0
